"행정구역별(시도)","다문화가구 구성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시도)","다문화가구 구성별",총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처
"부산광역시","내국인(출생)+다문화자녀",1747,1698,543,928,43,154,30,49,2007,1944,548,1128,55,183,30,63,2070,2012,556,1149,60,211,36,58,2184,2115,618,1191,55,215,36,69,2388,2315,653,1330,62,233,37,73
"부산광역시","내국인(귀화)+외국인(결혼이민자)",326,310,141,114,7,38,10,16,426,411,162,178,7,47,17,15,424,406,163,180,9,40,14,18,402,378,125,191,7,38,17,24,443,424,140,218,7,44,15,19
"부산광역시","기타",861,799,578,138,13,49,21,62,1010,957,622,228,13,71,23,53,980,890,593,187,8,76,26,90,1456,1324,841,268,19,160,36,132,1548,1371,818,293,21,207,32,177
"대구광역시","계",9728,9567,4386,4242,107,658,174,161,10332,10153,4482,4683,113,708,167,179,10919,10719,4645,5038,121,731,184,200,11388,11165,4859,5226,122,769,189,223,11868,11635,4967,5576,116,796,180,233
"대구광역시","내국인(귀화)",1080,1051,675,297,12,42,25,29,1129,1098,688,331,13,43,23,31,1196,1161,707,370,14,48,22,35,1314,1269,773,400,11,63,22,45,1423,1375,797,468,12,74,24,48
"대구광역시","내국인(출생)+내국인(귀화)",2355,2335,837,1209,30,229,30,20,2508,2485,871,1311,26,247,30,23,2699,2676,909,1441,29,263,34,23,2818,2794,921,1538,29,268,38,24,2982,2953,948,1666,26,275,38,29
"대구광역시","내국인(출생)+외국인(결혼이민자)",3916,3853,1509,1957,46,272,69,63,4093,4023,1511,2123,48,276,65,70,4168,4086,1467,2225,49,271,74,82,3850,3774,1236,2165,44,258,71,76,3816,3741,1216,2178,46,241,60,75
"대구광역시","내국인(출생)+다문화자녀",1193,1176,469,593,13,85,16,17,1340,1318,504,679,18,101,16,22,1446,1428,541,751,18,105,13,18,1633,1607,632,811,25,120,19,26,1728,1700,637,894,19,131,19,28
"대구광역시","내국인(귀화)+외국인(결혼이민자)",316,311,192,94,5,11,9,5,392,389,237,120,7,17,8,X,435,429,253,140,7,20,9,6,424,417,221,150,8,30,8,7,471,466,238,176,8,35,9,5
"대구광역시","기타",868,841,704,92,X,19,25,27,870,840,671,119,X,24,25,30,975,939,768,111,X,24,32,36,1349,1304,1076,162,5,30,31,45,1448,1400,1131,194,5,40,30,48
